date,cc_close_m,c_usd_close_m,ret_cc_m,ret_c_usd_m,ret_spread_m,precip_mm,gwetroot,t2m_max,month
2018-09-30,2066.0,1956.5787372589111,-0.09978213507625278,-0.08025242430866908,-0.021181018288101247,105.6,0.52,29.99,2018-09
2018-10-31,2227.0,2154.1591519117355,0.07792836398838343,0.10098260340374887,-0.02097637904069713,166.78,0.54,30.58,2018-10
2018-11-30,2083.0,2008.4378526210785,-0.06466097889537492,-0.06764648710441601,0.0015935857362386202,135.6,0.56,31.16,2018-11
2018-12-31,2429.0,2241.6856651306152,0.16610657705232845,0.11613394569572599,0.052362252100981804,36.58,0.51,32.48,2018-12
2019-01-31,2171.0,2060.7063357830048,-0.10621655002058461,-0.0807335890855444,-0.02714416910368779,28.21,0.44,34.81,2019-01
2019-02-28,2250.0,2276.0871220827103,0.03638876093965915,0.10451794249366797,-0.06597857656038285,58.24,0.43,35.71,2019-02
2019-03-31,2286.0,2256.1691665649414,0.016000000000000014,-0.008750963583302185,0.024570900088630658,104.78,0.44,34.93,2019-03
2019-04-30,2386.0,2503.718084335327,0.04374453193350836,0.10972090277578062,-0.06371870755705174,182.7,0.53,33.01,2019-04
2019-05-31,2406.0,2250.832294821739,0.0083822296730931,-0.10100409910196528,0.10730802609589361,208.63000000000002,0.58,31.85,2019-05
2019-06-30,2484.0,2245.1825493574142,0.032418952618453956,-0.002510069487328237,0.03487737386391096,198.0,0.62,29.58,2019-06
2019-07-31,2337.0,2219.492542743683,-0.0591787439613527,-0.011442279658321786,-0.047971905445331836,78.74,0.6,29.0,2019-07
2019-08-31,2160.0,1998.5863637924194,-0.07573812580231065,-0.09953003882508416,0.02174394122572075,49.6,0.5,30.63,2019-08
2019-09-30,2446.0,2356.6001358032227,0.1324074074074073,0.17913350080676715,-0.0430401674026433,185.1,0.51,30.92,2019-09
2019-10-31,2405.0,2401.011609315872,-0.01676206050695017,0.01884557029337186,-0.03521985644681225,264.73999999999995,0.63,29.32,2019-10
2019-11-30,2629.0,2581.286654829979,0.09313929313929314,0.07508295454076253,0.019601276942311535,132.89999999999998,0.68,31.2,2019-11
2019-12-31,2540.0,2385.260843038559,-0.03385317611259031,-0.07594112471957581,0.04052535219390181,56.42,0.61,31.88,2019-12
2020-01-31,2765.0,2558.9004296064377,0.0885826771653544,0.07279689643782561,0.01728368018157847,9.299999999999999,0.5,34.45,2020-01
2020-02-29,2830.0,2482.4065103530884,0.02350813743218816,-0.029893276959242265,0.05278631779489834,28.13,0.43,35.64,2020-02
2020-03-31,2239.0,2169.9863193035126,-0.20883392226148412,-0.12585375914323493,-0.08556978281820107,153.14000000000001,0.47,33.43,2020-03
2020-04-30,2372.0,2525.4730850458145,0.05940151853506026,0.16381981885323604,-0.10104747506009135,130.5,0.53,34.24,2020-04
2020-05-31,2436.0,2415.012516975403,0.026981450252951067,-0.04373856475623772,0.06982003196766942,199.02,0.56,32.03,2020-05
2020-06-30,2407.0,1998.0057821273804,-0.011904761904761862,-0.17267270124557688,0.1572149534639248,299.7,0.66,30.26,2020-06
2020-07-31,2419.0,2126.403650164604,0.004985459077690102,0.06426301124139489,-0.0579552495084496,82.14999999999999,0.67,28.4,2020-07
2020-08-31,2731.0,2282.2069206237793,0.12897891690781305,0.07327078772043794,0.05721577962708817,18.29,0.52,29.79,2020-08
2020-09-30,2538.0,2310.829719543457,-0.07067008421823506,0.012541719447531241,-0.08295373998953051,132.89999999999998,0.49,30.17,2020-09
2020-10-31,2299.0,2075.574163198471,-0.09416863672182818,-0.10180566501951716,0.005542232262226915,272.18,0.57,30.06,2020-10
2020-11-30,2638.0,2451.738536596298,0.14745541539799922,0.18123388702148602,-0.030049327199635684,136.79999999999998,0.64,30.4,2020-11
